'''
Please cite this paper
Li, J., Zhang, G., Zhang, S. et al. Seismicity characteristics and interseismic 
locking of the Anninghe Fault, Southwest China: Insights from long-term dense 
seismic array observations. Earth Planets Space 77, 63 (2025). 
https://doi.org/10.1186/s40623-025-02167-z
'''
ot,lat,lon,dep,mag,dt_max,num_sta,ex,ey,ez,rms,evid
2008-11-15T05:21:28.120000Z,28.518823,102.692472,6.1,0.6,181.1,3,258.6,300.7,499.4,0.126,101
2008-11-16T01:10:39.800000Z,27.840922,101.854972,10.14,1.0,168.5,3,97.9,138.8,324.5,0.036,100
2008-11-16T06:06:37.610000Z,29.061654,102.375618,27.13,1.6,127.8,6,321.9,360.7,296.4,0.167,102
2008-11-16T11:09:54.440000Z,27.628566,101.867114,10.03,1.2,117.7,6,209.9,242.5,314.3,0.183,104
2008-11-17T03:04:02.870000Z,27.571755,101.88138,20.56,1.3,189.6,3,150.6,164.7,269.8,0.077,99
2008-11-19T17:14:25.160000Z,30.155573,101.968506,10.19,1.6,226.5,8,361.5,249.7,293.1,0.166,96
2008-11-19T18:12:00.600000Z,29.46863,102.212329,13.65,0.9,302.7,7,557.9,437.5,780.1,0.131,97
2008-11-20T11:09:42.320000Z,27.562168,101.87391,20.31,1.2,191.4,4,161.9,198.2,303.0,0.104,98
2008-11-21T09:04:36.300000Z,29.607967,102.114762,9.64,2.9,73.3,19,179.5,194.5,364.7,0.178,95
2008-11-22T05:07:01.820000Z,29.166779,102.304199,11.58,1.0,164.8,8,204.6,209.9,202.2,0.144,92
2008-11-22T21:08:55.880000Z,30.106087,102.043498,9.01,1.0,241.4,4,380.3,343.2,409.7,0.153,91
2008-11-22T22:23:59.220000Z,29.107066,101.813957,9.11,0.8,183.9,3,369.9,620.4,679.4,0.113,93
2008-11-23T00:21:50.360000Z,27.32903,102.653133,15.81,1.0,188.4,4,193.1,109.2,104.3,0.156,88
2008-11-23T01:07:16.500000Z,28.96239,102.24554,8.33,1.0,224.9,4,237.9,406.9,556.3,0.091,94
2008-11-23T13:19:18.760000Z,29.611373,102.01993,6.49,1.1,158.7,9,146.0,128.5,277.7,0.124,89
2008-11-24T11:09:44.620000Z,27.577897,101.874528,21.07,1.4,176.9,5,155.9,182.6,278.1,0.149,90
2008-11-24T11:18:29.930000Z,29.619727,102.019531,12.44,1.2,159.4,6,432.0,291.6,987.1,0.102,85
2008-11-24T18:02:33.300000Z,29.107945,102.418595,18.7,0.7,282.6,6,175.7,196.0,193.0,0.099,87
2008-11-25T14:21:20.140000Z,29.316713,102.250789,7.09,1.0,294.2,8,222.8,343.1,380.8,0.115,78
2008-11-26T11:10:46.940000Z,27.843154,101.891536,24.1,1.0,169.6,3,212.4,222.9,512.4,0.125,81
2008-11-26T23:11:49.040000Z,29.172522,102.344198,22.62,0.8,171.2,7,123.0,181.1,109.2,0.067,80
2008-11-27T05:15:31.140000Z,27.208291,102.622518,15.98,1.5,140.0,8,281.1,181.6,345.7,0.148,79
2008-11-27T05:18:30.200000Z,29.223639,102.233521,9.14,0.6,325.5,8,185.2,195.0,130.3,0.077,70
2008-11-27T06:12:01.830000Z,29.9468,101.96368,10.66,1.8,122.6,12,248.2,174.4,273.0,0.154,73
2008-11-27T09:23:48.940000Z,29.540647,102.025846,10.54,1.5,257.0,3,338.9,405.2,530.0,0.044,77
2008-11-27T15:11:16.430000Z,29.619908,102.023096,9.84,1.3,158.9,9,282.8,270.7,320.1,0.162,74
2008-11-27T20:21:01.420000Z,29.141654,102.454663,22.92,1.9,63.2,13,257.9,203.7,292.5,0.144,68
2008-11-28T05:05:45.230000Z,29.230599,102.2323,8.96,0.8,181.4,8,160.2,252.3,187.5,0.105,66
2008-11-28T10:14:04.630000Z,29.830253,101.994027,10.52,0.4,181.5,5,253.1,304.9,471.1,0.092,72
2008-11-29T08:16:18.980000Z,29.94457,101.961906,10.08,1.2,175.4,6,287.3,149.4,265.6,0.119,71
2008-11-30T01:17:42.610000Z,29.021804,102.376432,24.72,0.0,341.0,3,223.5,195.3,207.2,0.051,259
2008-11-30T04:18:52.090000Z,29.830436,101.990552,9.33,0.8,105.2,6,222.6,219.6,395.1,0.110,65
2008-12-01T00:02:09.540000Z,29.305772,102.549023,2.6,0.6,155.5,4,108.0,109.4,81.8,0.067,254
2008-12-01T05:20:46.810000Z,29.234642,102.32972,12.51,0.2,307.8,7,202.9,303.8,232.2,0.141,246
2008-12-01T08:14:24.120000Z,27.718376,102.072355,7.71,1.0,177.4,4,156.9,179.6,392.1,0.095,248
2008-12-01T09:20:12.290000Z,29.225806,102.226554,7.88,0.8,169.0,8,146.7,257.9,242.4,0.121,63
2008-12-01T11:21:47.440000Z,29.953156,101.974487,11.02,1.6,101.8,14,267.0,234.4,333.2,0.156,256
2008-12-01T13:13:47.170000Z,29.961123,101.54113,7.24,1.3,97.7,7,170.7,296.9,491.9,0.104,249
2008-12-01T21:12:09.620000Z,30.094212,102.484603,10.7,1.5,99.1,10,265.2,248.8,380.9,0.094,250
2008-12-01T21:19:24.800000Z,29.562303,102.048934,7.62,1.8,78.0,14,201.7,201.6,657.0,0.154,258
2008-12-02T01:04:47.170000Z,30.300568,102.212736,12.68,2.6,179.4,8,387.0,269.5,413.7,0.091,244
2008-12-02T03:01:08.720000Z,29.17499,102.363013,22.1,0.6,322.8,4,152.5,228.3,204.1,0.073,255
2008-12-02T03:19:01.540000Z,29.558213,102.040194,-3.56,0.9,152.1,4,243.3,181.8,977.3,0.177,257
2008-12-02T14:14:41.300000Z,29.91035,101.915845,10.24,0.8,205.9,5,380.2,292.3,404.4,0.102,241
2008-12-02T21:10:48.000000Z,29.937722,102.666398,10.0,1.0,134.3,8,457.2,404.7,429.2,0.172,242
2008-12-02T23:10:19.640000Z,29.381246,102.62902,5.44,0.5,288.8,3,207.3,175.4,249.1,0.075,252
2008-12-03T11:15:09.050000Z,28.958962,102.366374,20.83,0.2,327.2,4,319.9,259.1,296.7,0.108,247
2008-12-04T03:07:17.000000Z,29.30575,102.624276,12.7,0.0,201.3,3,522.9,526.6,591.8,0.133,243
2008-12-04T16:03:30.670000Z,29.332292,102.596444,3.58,0.2,237.3,5,155.2,144.2,98.2,0.089,239
2008-12-04T19:00:36.600000Z,29.558095,102.020353,10.35,1.9,244.5,4,223.4,246.6,446.9,0.086,240
2008-12-04T23:04:37.880000Z,29.380121,102.620695,3.62,0.5,134.0,5,271.7,187.9,220.3,0.104,238
2008-12-05T22:23:59.560000Z,29.110824,102.456803,-0.22,0.7,237.6,8,193.7,396.3,779.5,0.138,237
2008-12-06T11:14:30.410000Z,29.030554,102.400423,22.58,0.0,339.6,3,321.7,237.5,237.0,0.113,235
2008-12-07T07:13:33.100000Z,27.358681,102.690869,12.58,1.9,147.4,8,207.2,185.7,281.0,0.163,228
2008-12-07T16:13:40.880000Z,27.362341,102.709294,11.84,2.0,149.8,9,247.0,195.5,235.2,0.158,227
2008-12-08T00:10:51.010000Z,29.351463,102.652311,3.71,0.4,173.2,5,235.7,250.0,272.2,0.122,223
2008-12-08T04:07:21.650000Z,29.3816,102.613786,4.91,0.5,286.4,3,196.0,169.6,249.8,0.077,233
